FID,CATEGORY,IFT_IOA,COUNTRY,Area_Ha,Shape__Are,Shape__Len
107136,Woodland,Broadleaved,England,61.479802282700000,614798.022682189941406,13245.105638179804373
107285,Woodland,Broadleaved,England,101.226939862999998,1012269.398643493652344,13384.563225736905224
107436,Woodland,Broadleaved,England,67.259511505299997,672595.115127563476562,10214.359976443882260
107606,Woodland,Broadleaved,England,77.745596435600007,777455.964202880859375,10041.402540869343284
107626,Woodland,Broadleaved,England,170.732781778999993,1707327.817779541015625,21995.700336865360441
107650,Woodland,Broadleaved,England,56.367028635200001,563670.286567687988281,6910.368980273788111
107677,Woodland,Broadleaved,England,52.564829545599999,525648.295570373535156,9987.634478942673013
107877,Woodland,Broadleaved,England,61.109023186100003,611090.231842041015625,13994.691565502544108
108034,Woodland,Broadleaved,England,104.163394335999996,1041633.943328857421875,13864.788502874176629
108107,Woodland,Broadleaved,England,69.401804284199997,694018.042671203613281,6796.637544036401778
108189,Woodland,Broadleaved,England,218.011378546999993,2180113.785552978515625,23307.838023359759973
108533,Woodland,Broadleaved,England,58.770484559700002,587704.845352172851562,11409.462095719147328
109082,Woodland,Broadleaved,England,77.881775137000005,778817.751457214355469,15429.883702639519470
109502,Woodland,Broadleaved,England,55.647994644699999,556479.946228027343750,9303.132502577838750
110478,Woodland,Broadleaved,England,104.124908589000000,1041249.085948944091797,8053.287189623201812
110498,Woodland,Broadleaved,England,199.094121253999987,1990941.212604522937909,16623.679942579572526
110911,Woodland,Broadleaved,England,57.268112831000003,572681.128318786621094,12600.578984197802129
111023,Woodland,Broadleaved,England,62.064947025499997,620649.470310211181641,9453.804257411291474
111044,Woodland,Broadleaved,England,66.907283352099995,669072.833442687988281,12270.529149500867788
111052,Woodland,Broadleaved,England,61.049537419200000,610495.374172210693359,18358.419868546741782
111280,Woodland,Broadleaved,England,51.656961079299997,516569.610755920410156,6412.190832394067911
111398,Woodland,Broadleaved,England,73.941022444599994,739410.224445343017578,18760.036667799795396
111431,Woodland,Broadleaved,England,63.129302538799998,631293.025413513183594,4794.195666050762156
111476,Woodland,Broadleaved,England,54.710847058100001,547108.470539093017578,6418.058668806475907
111615,Woodland,Broadleaved,England,69.689957974400002,696899.579795837402344,7512.197987615668353
111633,Woodland,Broadleaved,England,60.290816501999998,602908.165046692010947,11910.901604567479808
111730,Woodland,Broadleaved,England,59.666806484299997,596668.064853668212891,12203.236342202473679
112141,Woodland,Broadleaved,England,94.379170427999995,943791.704345703125000,16602.732529082797555
112424,Woodland,Broadleaved,England,59.368090461300000,593680.904617309686728,9419.543077703743620
112543,Woodland,Broadleaved,England,68.237791690700007,682377.916923522949219,13778.548094753155965
112565,Woodland,Broadleaved,England,107.457415058999999,1074574.150650024414062,17118.782483909850271
112708,Woodland,Broadleaved,England,111.624901254999997,1116249.012557983398438,20561.515031594168249
112717,Woodland,Broadleaved,England,50.905562693000000,509055.626842498779297,11155.780761032478040
112774,Woodland,Broadleaved,England,58.993532211700000,589935.322093963623047,11278.302004881643370
112813,Woodland,Broadleaved,England,89.886203613000006,898862.036239624023438,22064.289542116417579
112934,Woodland,Broadleaved,England,110.612524281999995,1106125.242870330810547,24105.280473680370051
112968,Woodland,Broadleaved,England,63.763755762300001,637637.557655334472656,13208.099456236461265
112988,Woodland,Broadleaved,England,63.474744973599996,634747.449707031250000,7925.200236404799398
113127,Woodland,Broadleaved,England,50.813571506499997,508135.715080261230469,8784.770902519252559
113140,Woodland,Broadleaved,England,52.546485256099999,525464.852523803710938,13131.365910853586684
113234,Woodland,Broadleaved,England,62.892005337900002,628920.053398132324219,11886.393138806593925
113313,Woodland,Broadleaved,England,103.830682132999996,1038306.821220397949219,17431.621249363932293
113332,Woodland,Broadleaved,England,65.586846792700001,655868.467895507928915,12828.245443160913055
113354,Woodland,Broadleaved,England,372.622149252999975,3726221.492435455322266,45532.559542516137299
113426,Woodland,Broadleaved,England,69.937944893799994,699379.449001312255859,9632.324767021862499
113432,Woodland,Broadleaved,England,173.359520567000004,1733595.205760955810547,15884.460682906503280
113547,Woodland,Broadleaved,England,56.584082575700002,565840.825653076171875,8021.518458013096279
113741,Woodland,Broadleaved,England,55.258730679499998,552587.306690216064453,9679.583539369856226
113761,Woodland,Broadleaved,England,96.013599992799996,960135.999782562255859,20422.811893502417661
113772,Woodland,Broadleaved,England,52.652066500499998,526520.664958953857422,8950.421206433646148
113797,Woodland,Broadleaved,England,558.841906281999968,5588419.062980651855469,58218.598465778813988
113799,Woodland,Broadleaved,England,105.599740580000002,1055997.405632019042969,25642.611927553902206
113824,Woodland,Broadleaved,England,67.529811008199999,675298.110111236572266,11092.679292531614919
113852,Woodland,Broadleaved,England,50.228469245799999,502284.692417144775391,7640.621258443839906
113872,Woodland,Broadleaved,England,90.677726926800005,906777.269252777099609,19190.277783892204752
113952,Woodland,Broadleaved,England,64.848017855600006,648480.178546905633993,10703.853088820867924
